Order ID,Order Date,Order Priority,Order Quantity,Total Sales,Total Cost of Good sold,Total Discount,Total Shipping Cost,Margin,Ship Date,Ship Mode,Customer Name,Product ID,Durée de livraison,Part de livraison dans les revenus
3,10-13-2013,Low,6,234,175,14,53,-8,10-15-2013,Regular Air,Muhammed MacIntyre,488,2,22.47%
6,02-20-2015,Not Specified,2,"1,560","1,340",31,4,184,02-23-2015,Regular Air,Ruben Dartt,928,3,0.25%
32,07-15-2014,High,23,"1,701","1,306",102,8,285,07-17-2014,Regular Air,Liz Pelletier,503,2,0.44%
32,07-15-2014,High,24,"2,796","2,196",335,134,130,07-17-2014,Delivery Truck,Liz Pelletier,191,2,4.79%
32,07-15-2014,High,15,"1,188","1,021",71,13,82.3816,07-18-2014,Regular Air,Liz Pelletier,818,3,1.14%
32,07-15-2014,High,26,4,3,0,9,-8,07-17-2014,Regular Air,Liz Pelletier,83,2,209.50%
35,10-22-2014,Not Specified,14,273,224,5,13,30,10-25-2014,Regular Air,Julie Creighton,133,3,4.93%
35,10-22-2014,Not Specified,30,220,191,9,3,17,10-25-2014,Regular Air,Julie Creighton,796,3,1.53%
36,11-02-2014,Critical,46,204,176,27,6,-5,11-04-2014,Regular Air,Sample Company A,436,2,3.09%
65,03-17-2014,Critical,32,"1,569","1,353",47,3,166,03-19-2014,Regular Air,Tamara Dahlen,283,2,0.19%
66,01-19-2012,Low,41,272,217,33,1,21,01-22-2012,Regular Air,Arthur Gainer,716,3,0.39%
69,06-03-2012,Not Specified,28,"1,299","1,096",52,1,150,06-06-2012,Express Air,Jonathan Doherty,1084,3,0.08%
69,06-03-2012,Not Specified,42,127,95,15,6,11,06-05-2012,Regular Air,Jonathan Doherty,532,2,4.63%
70,12-17-2013,Low,48,"24,667","19,572",987,4,"4,105",12-20-2013,Regular Air,Helen Wasserman,848,3,0.02%
70,12-17-2013,Low,46,89,66,6,9,8,12-20-2013,Regular Air,Helen Wasserman,89,3,10.06%
96,04-16-2012,High,37,464,345,9,13,96,04-18-2012,Regular Air,Keith Dawkins,208,2,2.91%
97,01-28-2013,Medium,26,15,12,1,1,2,01-30-2013,Regular Air,Craig Yedwab,888,2,5.05%
129,11-18-2015,Low,4,158,136,19,12,-9,11-20-2015,Regular Air,Pauline Chand,1118,2,7.76%
130,05-07-2015,High,3,"2,784","2,239",195,21,329,05-10-2015,Express Air,Roy Collins,165,3,0.75%
130,05-07-2015,High,29,453,391,14,14,35,05-09-2015,Regular Air,Roy Collins,507,2,2.99%
130,05-07-2015,High,23,550,476,39,14,21,05-10-2015,Regular Air,Roy Collins,758,3,2.58%
132,06-10-2013,Medium,30,"4,344","3,368",304,82,590,06-12-2013,Delivery Truck,Emily Phan,51,2,1.89%
132,06-10-2013,Medium,27,"2,299","1,812",92,8,387,06-13-2013,Regular Air,Emily Phan,503,3,0.33%
134,04-30-2015,Not Specified,11,118,102,2,53,-39,05-02-2015,Regular Air,Michael Dominguez,1259,2,44.64%
135,10-20-2014,Not Specified,25,"9,476","7,594","1,137",7,737,10-23-2014,Regular Air,Anne Pryor,698,3,0.07%
166,09-11-2014,High,10,251,201,8,13,30,09-14-2014,Express Air,Valerie Takahito,273,3,5.37%
193,08-07-2013,Critical,14,125,98,10,9,7,08-09-2013,Regular Air,Justin Hirsh,625,2,7.55%
194,04-04-2015,Medium,49,"3,036","2,466",395,12,163,04-07-2015,Regular Air,Maria Zettner,933,3,0.39%
194,04-04-2015,Medium,6,357,303,21,3,29,04-07-2015,Regular Air,Maria Zettner,653,3,0.81%
195,12-27-2013,Medium,34,75,61,3,21,-10,12-29-2013,Regular Air,Brad Thomas,541,2,27.82%
197,04-06-2014,High,23,660,536,13,5,106,04-08-2014,Regular Air,Penelope Sewall,416,2,0.71%
224,06-17-2012,Not Specified,25,"1,243","1,060",149,8,26,06-20-2012,Regular Air,Bart Folk,809,3,0.63%
224,06-17-2012,Not Specified,44,185,149,11,8,16,06-20-2012,Regular Air,Bart Folk,1181,3,4.19%
224,06-17-2012,Not Specified,33,263,229,16,16,3,06-20-2012,Regular Air,Bart Folk,555,3,6.09%
225,05-24-2014,Critical,24,174,141,14,1,19,05-26-2014,Regular Air,Karen Ferguson,788,2,0.60%
225,05-24-2014,Critical,1,134,107,9,6,11,05-26-2014,Regular Air,Karen Ferguson,575,2,4.59%
229,12-28-2013,Critical,24,162,141,5,19,-3,12-31-2013,Regular Air,Peter Fuller,578,3,12.02%
229,12-28-2013,Critical,43,78,68,12,7,-9,12-31-2013,Regular Air,Matt Abelman,611,3,9.61%
230,10-26-2013,Critical,47,"3,705","3,073",296,13,322,10-29-2013,Regular Air,Erin Creighton,274,3,0.36%
