Order ID,Order Date,Order Priority,Order Quantity,Total Sales,Total Cost of Good sold,Total Discount,Total Shipping Cost,Margin,Ship Date,Ship Mode,Customer Name,Product ID,Product category,Product Subcategory,Part des frais de port,,TOP 100,
6,02-20-2015,Not Specified,2,"1,560","1,340",31,4,184,02-23-2015,Regular Air,Ruben Dartt,928,Office Supplies,"Scissors, Rulers and Trimmers",0.25%,,1,47481
129,11-18-2015,Low,4,158,136,19,12,-9,11-20-2015,Regular Air,Pauline Chand,1118,Office Supplies,Paper,7.76%,,2,31500
130,05-07-2015,High,3,"2,784","2,239",195,21,329,05-10-2015,Express Air,Roy Collins,165,Technology,Office Machines,0.75%,,3,30723
130,05-07-2015,High,29,453,391,14,14,35,05-09-2015,Regular Air,Roy Collins,507,Office Supplies,Paper,2.99%,,4,26429
130,05-07-2015,High,23,550,476,39,14,21,05-10-2015,Regular Air,Roy Collins,758,Office Supplies,Storage & Organization,2.58%,,5,24322
134,04-30-2015,Not Specified,11,118,102,2,53,-39,05-02-2015,Regular Air,Michael Dominguez,1259,Office Supplies,Storage & Organization,44.64%,,6,24151
194,04-04-2015,Medium,49,"3,036","2,466",395,12,163,04-07-2015,Regular Air,Maria Zettner,933,Furniture,Office Furnishings,0.39%,,7,23568
194,04-04-2015,Medium,6,357,303,21,3,29,04-07-2015,Regular Air,Maria Zettner,653,Office Supplies,"Scissors, Rulers and Trimmers",0.81%,,8,23546
292,01-12-2015,High,43,645,555,71,2,18,01-15-2015,Regular Air,Valerie Takahito,820,Office Supplies,Envelopes,0.32%,,9,23141
293,10-01-2015,High,27,"10,200","8,202",204,4,"1,789",10-04-2015,Regular Air,Barry French,803,Office Supplies,Binders and Binder Accessories,0.04%,,10,22800
293,10-01-2015,High,49,234,175,23,102,-67,10-03-2015,Delivery Truck,Barry French,186,Office Supplies,Appliances,43.67%,,11,22050
322,03-18-2015,Critical,46,"3,120","2,492",406,15,207,03-20-2015,Regular Air,Giulietta Weimer,1219,Office Supplies,Paper,0.48%,,12,20349
322,03-18-2015,Critical,20,21,18,2,12,-11,03-21-2015,Regular Air,Giulietta Weimer,315,Technology,Telephones and Communication,56.90%,,13,20182
324,03-19-2015,Critical,25,47,38,1,21,-13,03-22-2015,Regular Air,Frank Gastineau,101,Technology,Telephones and Communication,44.61%,,14,19350
384,03-02-2015,Low,50,19,14,1,120,-116,03-05-2015,Delivery Truck,Sonia Cooley,140,Furniture,Tables,638.54%,,15,19103
388,12-15-2015,Not Specified,46,26,22,2,10,-9,12-18-2015,Regular Air,Jennifer Halladay,689,Office Supplies,Appliances,40.28%,,16,19000
481,10-07-2015,High,44,372,318,7,8,38,10-10-2015,Regular Air,Art Foster,301,Technology,Telephones and Communication,2.12%,,17,18846
